                                          中信期货有限公司                                          
                                                                    制表时间 Creation Date：20170119
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  120200888          客户名称 Client Name：尚腾资本管理有限公司
日期 Date：20170119




                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                  5176727.62  基础保证金 Initial Margin：                10.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：                5171114.78
平仓盈亏 Realized P/L：                    5985.00  质 押 金 Pledge Amount：                    0.00
持仓盯市盈亏 MTM P/L：                   -10210.00  客户权益 Client Equity：：            5171114.78
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      1387.84  保证金占用 Margin Occupied：           294855.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：       5171114.78
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：                4876259.78
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                     5.70%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20170119|大商所  |豆粕              |     m1705      |买   |投          |  2938.000|     8|   235040.00|开                |     12.73|        0.00|                 0.00|10067710    |
|20170119|大商所  |豆粕              |     m1705      |   卖|投          |  2959.000|     4|   118360.00|  平              |      6.37|      840.00|                 0.00|10577839    |
|20170119|大商所  |豆粕              |     m1705      |   卖|投          |  2959.000|     4|   118360.00|  平              |      6.37|      840.00|                 0.00|10577840    |
|20170119|大商所  |豆粕              |     m1705      |买   |投          |  2963.000|     8|   237040.00|开                |     12.73|        0.00|                 0.00|10622779    |
|20170119|大商所  |豆粕              |     m1705      |   卖|投          |  2965.000|     8|   237200.00|  平              |     12.73|      160.00|                 0.00|10758335    |
|20170119|大商所  |聚丙烯            |     pp1705     |买   |投          |  8877.000|     3|   133155.00|开                |     33.63|        0.00|                 0.00|30272902    |
|20170119|大商所  |聚丙烯            |     pp1705     |买   |投          |  8877.000|     1|    44385.00|开                |      2.82|        0.00|                 0.00|30272903    |
|20170119|大商所  |聚丙烯            |     pp1705     |买   |投          |  8880.000|     1|    44400.00|开                |      2.82|        0.00|                 0.00|30280232    |
|20170119|大商所  |聚丙烯            |     pp1705     |   卖|投          |  8909.000|     2|    89090.00|  平              |     22.50|      320.00|                 0.00|30335826    |
|20170119|大商所  |聚丙烯            |     pp1705     |   卖|投          |  8909.000|     1|    44545.00|  平              |     11.25|      160.00|                 0.00|30335838    |
|20170119|大商所  |铁矿石            |     i1705      |买   |投          |   639.500|     1|    63950.00|开                |      8.09|        0.00|                 0.00|30028072    |
|20170119|大商所  |线型低密度聚乙烯  |     l1705      |   卖|投          | 10080.000|     5|   252000.00|开                |     10.64|        0.00|                 0.00|30228687    |
|20170119|大商所  |线型低密度聚乙烯  |     l1705      |买   |投          | 10125.000|     5|   253125.00|  平              |     10.64|    -1125.00|                 0.00|30329281    |
|20170119|大商所  |线型低密度聚乙烯  |     l1705      |买   |投          | 10140.000|     5|   253500.00|开                |     10.64|        0.00|                 0.00|30335848    |
|20170119|大商所  |线型低密度聚乙烯  |     l1705      |   卖|投          | 10135.000|     5|   253375.00|  平              |     10.64|     -125.00|                 0.00|30435913    |
|20170119|上期所  |白银              |     ag1706     |   卖|投          |  4128.000|     2|   123840.00|开                |      6.57|        0.00|                 0.00|00678049    |
|20170119|上期所  |白银              |     ag1706     |   卖|投          |  4128.000|     1|    61920.00|开                |      3.28|        0.00|                 0.00|00678050    |
|20170119|上期所  |白银              |     ag1706     |   卖|投          |  4102.000|     1|    61530.00|  平              |      3.26|     -780.00|                 0.00|00861897    |
|20170119|上期所  |白银              |     ag1706     |   卖|投          |  4102.000|     1|    61530.00|  平              |      3.26|     -780.00|                 0.00|00861898    |
|20170119|上期所  |白银              |     ag1706     |   卖|投          |  4102.000|     2|   123060.00|  平              |      6.53|    -1560.00|                 0.00|00861899    |
|20170119|上期所  |白银              |     ag1706     |   卖|投          |  4102.000|     3|   184590.00|  平              |      9.79|    -2340.00|                 0.00|00861900    |
|20170119|上期所  |白银              |     ag1706     |买   |投          |  4107.000|     1|    61605.00|平今              |      3.27|      315.00|                 0.00|01163791    |
|20170119|上期所  |白银              |     ag1706     |买   |投          |  4108.000|     2|   123240.00|平今              |      6.54|      600.00|                 0.00|01163792    |
