                                                         结算单                                                        

账户：12020088807
日期：20170216
                                                         资金状况                                          币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金：       518799.83 								 交割手续费：              0.00
出入金：                  0.00 								 期末结存：           538811.99
平仓盈亏：            21000.00 								 保证金占用：              0.00
持仓盈亏：                0.00 								 可用资金：           538811.99
手续费：                987.84 								 风险度：                 0.00%


--------------------------------------------------------成交明细-------------------------------------------------------

|      合约代码   |    交易所 | 成交日期| 买/卖| 投/保|       成交价|  手数 |  开平 |      手续费   |      成交编号   |
-----------------------------------------------------------------------------------------------------------------------
|            m1705|     大商所| 20170216|  买  |  投机|     2936.000|      3|   开仓|           4.77|         10041746|
|            m1705|     大商所| 20170216|  买  |  投机|     2936.000|      7|   开仓|          11.14|         10041747|
|            m1705|     大商所| 20170216|    卖|  投机|     2960.000|     10|   平今|          15.91|         10658876|
|            m1705|     大商所| 20170216|    卖|  投机|     2960.000|     10|   开仓|          15.91|         10658877|
|            m1705|     大商所| 20170216|  买  |  投机|     2954.000|      3|   平今|           4.77|         10696607|
|            m1705|     大商所| 20170216|  买  |  投机|     2954.000|      5|   平今|           7.96|         10696646|
|            m1705|     大商所| 20170216|  买  |  投机|     2954.000|      1|   平今|           1.59|         10696679|
|            m1705|     大商所| 20170216|  买  |  投机|     2954.000|      1|   平今|           1.59|         10696682|
|            l1705|     大商所| 20170216|    卖|  投机|    10000.000|      6|   开仓|          12.77|         30530757|
|            l1705|     大商所| 20170216|  买  |  投机|     9920.000|      6|   平今|          12.76|         30607925|
|           au1706|     上期所| 20170216|    卖|  投机|      274.550|      1|   开仓|          10.65|           213144|
|           cu1704|     上期所| 20170216|  买  |  投机|    48760.000|      2|   开仓|          25.87|           320308|
|           ru1705|     上期所| 20170216|    卖|  投机|    21270.000|      1|   开仓|          10.17|           412967|
|           rb1705|     上期所| 20170216|    卖|  投机|     3366.000|      5|   开仓|          17.76|           445285|
|           rb1705|     上期所| 20170216|  买  |  投机|     3370.000|      5|   平今|          88.56|           454624|
|           ru1705|     上期所| 20170216|  买  |  投机|    21290.000|      1|   平今|          50.41|           455036|
|           cu1704|     上期所| 20170216|    卖|  投机|    48770.000|      2|   平今|           0.27|           469985|
|           cu1704|     上期所| 20170216|    卖|  投机|    48770.000|      1|   开仓|          12.94|           469986|
|           cu1704|     上期所| 20170216|    卖|  投机|    48770.000|      1|   开仓|          12.94|           470005|
|           au1706|     上期所| 20170216|  买  |  投机|      274.950|      1|   平今|           0.15|           536979|
|           au1706|     上期所| 20170216|  买  |  投机|      274.950|      1|   开仓|          10.65|           536980|
|           au1706|     上期所| 20170216|  买  |  投机|      274.900|      1|   开仓|          10.65|           539712|
|           cu1704|     上期所| 20170216|  买  |  投机|    49020.000|      2|   平今|           0.27|           610995|
|           cu1704|     上期所| 20170216|  买  |  投机|    49020.000|      2|   开仓|          26.01|           610996|
|           au1706|     上期所| 20170216|    卖|  投机|      275.850|      1|   平今|           0.15|           688220|
|           ag1706|     上期所| 20170216|  买  |  投机|     4237.000|      5|   开仓|          16.86|           708883|
|           rb1705|     上期所| 20170216|  买  |  投机|     3404.000|      1|   开仓|           3.59|           814966|
|           rb1705|     上期所| 20170216|  买  |  投机|     3404.000|      4|   开仓|          14.37|           814967|
|           au1706|     上期所| 20170216|  买  |  投机|      277.050|      1|   开仓|          10.65|          1097317|
|           rb1705|     上期所| 20170216|  买  |  投机|     3488.000|      5|   开仓|          18.41|          1259624|
|           au1706|     上期所| 20170216|    卖|  投机|      276.750|      1|   平今|           0.15|          1408061|
|           au1706|     上期所| 20170216|    卖|  投机|      276.750|      1|   平今|           0.15|          1408085|
|           rb1705|     上期所| 20170216|    卖|  投机|     3458.000|      1|   平今|          18.17|          1533346|
|           rb1705|     上期所| 20170216|    卖|  投机|     3458.000|      1|   平今|          18.17|          1533348|
|           rb1705|     上期所| 20170216|    卖|  投机|     3458.000|      2|   平今|          36.35|          1533349|
|           rb1705|     上期所| 20170216|    卖|  投机|     3458.000|      1|   平今|          18.17|          1533351|
|           rb1705|     上期所| 20170216|    卖|  投机|     3458.000|      1|   平今|          18.17|          1533372|
|           rb1705|     上期所| 20170216|    卖|  投机|     3458.000|      1|   平今|          18.17|          1533377|
|           rb1705|     上期所| 20170216|    卖|  投机|     3458.000|      1|   平今|          18.17|          1533386|
|           rb1705|     上期所| 20170216|    卖|  投机|     3458.000|      2|   平今|          36.35|          1533391|
|           rb1705|     上期所| 20170216|    卖|  投机|     3458.000|      1|   开仓|           3.65|          1533392|
|           rb1705|     上期所| 20170216|    卖|  投机|     3458.000|      1|   开仓|           3.65|          1533393|
|           ru1705|     上期所| 20170216|    卖|  投机|    21265.000|      1|   开仓|          10.16|          1533572|
|           rb1705|     上期所| 20170216|    卖|  投机|     3458.000|      3|   开仓|          10.95|          1534119|
|           rb1705|     上期所| 20170216|    卖|  投机|     3449.000|      5|   开仓|          18.20|          1576085|
|           ag1706|     上期所| 20170216|    卖|  投机|     4223.000|      5|   平今|          16.80|          1627656|
|           cu1704|     上期所| 20170216|    卖|  投机|    48890.000|      2|   平今|           0.27|          1703875|
|           cu1704|     上期所| 20170216|    卖|  投机|    48890.000|      1|   开仓|          12.97|          1703882|
|           cu1704|     上期所| 20170216|    卖|  投机|    48890.000|      1|   开仓|          12.97|          1703883|
