                                                         结算单                                                        

账户：12020088808
日期：20170216
                                                         资金状况                                          币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金：      4445396.88 								 交割手续费：              0.00
出入金：                  0.00 								 期末结存：          4374800.87
平仓盈亏：           -26825.00 								 保证金占用：        1323682.95
持仓盈亏：           -42600.00 								 可用资金：          3051117.92
手续费：               1171.01 								 风险度：                30.26%


--------------------------------------------------------持仓明细-------------------------------------------------------

|     合约代码    |    交易所 | 开仓日期| 投/保| 买/卖|  手数 |    开仓价   |    结算价   |   持仓盈亏  |    保证金   |
-----------------------------------------------------------------------------------------------------------------------
|            TA705|     郑商所| 20170203|  投机|  买  |      5|     5688.000|     5706.000|     -1700.00|      8559.00|
|            TA705|     郑商所| 20170208|  投机|  买  |      2|     5750.000|     5706.000|      -680.00|      3423.60|
|            MA705|     郑商所| 20170210|  投机|  买  |      5|     2902.000|     3075.000|      -900.00|     10762.50|
|            MA705|     郑商所| 20170210|  投机|  买  |      1|     2902.000|     3075.000|      -180.00|      2152.50|
|            MA705|     郑商所| 20170210|  投机|  买  |      1|     2902.000|     3075.000|      -180.00|      2152.50|
|            MA705|     郑商所| 20170210|  投机|  买  |      1|     2902.000|     3075.000|      -180.00|      2152.50|
|            FG705|     郑商所| 20170210|  投机|  买  |      1|     1332.000|     1372.000|         0.00|      1920.80|
|            FG705|     郑商所| 20170210|  投机|  买  |      1|     1332.000|     1372.000|         0.00|      1920.80|
|            FG705|     郑商所| 20170210|  投机|  买  |      4|     1350.000|     1372.000|         0.00|      7683.20|
|            CF705|     郑商所| 20170213|  投机|  买  |      1|    16005.000|    15735.000|      -675.00|      5507.25|
|            CF705|     郑商所| 20170213|  投机|  买  |      2|    16005.000|    15735.000|     -1350.00|     11014.50|
|            CF705|     郑商所| 20170213|  投机|  买  |      1|    16005.000|    15735.000|      -675.00|      5507.25|
|            TA705|     郑商所| 20170213|  投机|  买  |      1|     5814.000|     5706.000|      -340.00|      1711.80|
|            TA705|     郑商所| 20170213|  投机|  买  |      2|     5814.000|     5706.000|      -680.00|      3423.60|
|            TA705|     郑商所| 20170213|  投机|  买  |      3|     5814.000|     5706.000|     -1020.00|      5135.40|
|            CF705|     郑商所| 20170214|  投机|  买  |      1|    16180.000|    15735.000|      -675.00|      5507.25|
|            FG705|     郑商所| 20170214|  投机|  买  |     21|     1387.000|     1372.000|         0.00|     40336.80|
|            FG705|     郑商所| 20170214|  投机|  买  |      1|     1388.000|     1372.000|         0.00|      1920.80|
|            FG705|     郑商所| 20170214|  投机|  买  |      1|     1388.000|     1372.000|         0.00|      1920.80|
|            FG705|     郑商所| 20170214|  投机|  买  |      1|     1388.000|     1372.000|         0.00|      1920.80|
|            OI705|     郑商所| 20170214|  投机|    卖|      1|     7192.000|     7080.000|        60.00|      4956.00|
|            OI705|     郑商所| 20170214|  投机|    卖|      1|     7192.000|     7080.000|        60.00|      4956.00|
|            OI705|     郑商所| 20170214|  投机|    卖|      1|     7192.000|     7080.000|        60.00|      4956.00|
|            OI705|     郑商所| 20170214|  投机|    卖|      1|     7192.000|     7080.000|        60.00|      4956.00|
|            OI705|     郑商所| 20170214|  投机|    卖|      1|     7192.000|     7080.000|        60.00|      4956.00|
|            OI705|     郑商所| 20170214|  投机|    卖|      2|     7192.000|     7080.000|       120.00|      9912.00|
|            OI705|     郑商所| 20170214|  投机|    卖|      1|     7192.000|     7080.000|        60.00|      4956.00|
|            SR705|     郑商所| 20170214|  投机|  买  |      2|     6965.000|     6850.000|      -960.00|      6850.00|
|            FG705|     郑商所| 20170215|  投机|  买  |      1|     1378.000|     1372.000|         0.00|      1920.80|
|            FG705|     郑商所| 20170215|  投机|  买  |      1|     1364.000|     1372.000|         0.00|      1920.80|
|            FG705|     郑商所| 20170215|  投机|  买  |      1|     1370.000|     1372.000|         0.00|      1920.80|
|            FG705|     郑商所| 20170215|  投机|  买  |      1|     1370.000|     1372.000|         0.00|      1920.80|
|            CF705|     郑商所| 20170215|  投机|  买  |      1|    15850.000|    15735.000|      -675.00|      5507.25|
|            m1705|     大商所| 20170209|  投机|  买  |      1|     2981.000|     2963.000|       150.00|      2074.10|
|            m1705|     大商所| 20170215|  投机|  买  |      7|     2950.000|     2963.000|      1050.00|     14518.70|
|            p1705|     大商所| 20170214|  投机|    卖|      1|     6172.000|     6112.000|      -100.00|      4278.40|
|            y1705|     大商所| 20170208|  投机|  买  |     10|     6868.000|     6836.000|      -600.00|     47852.00|
|            p1705|     大商所| 20170214|  投机|    卖|      4|     6166.000|     6112.000|      -400.00|     17113.60|
|            p1705|     大商所| 20170215|  投机|    卖|      1|     6104.000|     6112.000|      -100.00|      4278.40|
|            y1705|     大商所| 20170215|  投机|    卖|      2|     6846.000|     6836.000|       120.00|      9570.40|
|            y1705|     大商所| 20170215|  投机|    卖|      2|     6852.000|     6836.000|       120.00|      9570.40|
